463.798	-189.39
464.177	3.61
464.557	4.61
464.937	6.61
465.316	10.61
465.696	9.61
466.075	9.61
466.454	8.61
466.834	12.61
467.213	15.61
467.592	10.61
467.971	13.61
468.35	14.61
468.729	11.61
469.108	20.61
469.487	6.61
469.866	16.61
470.245	13.61
470.623	16.61
471.002	9.61
471.381	10.61
471.759	16.61
472.138	10.61
472.516	11.61
472.895	15.61
473.273	12.61
473.651	14.61
474.03	13.61
474.408	18.61
474.786	12.61
475.164	17.61
475.542	15.61
475.92	15.61
476.298	19.61
476.676	21.61
477.054	10.61
477.432	12.61
477.809	13.61
478.187	14.61
478.565	13.61
478.942	19.61
479.32	16.61
479.697	17.61
480.075	14.61
480.452	11.61
480.829	9.61
481.206	18.61
481.584	17.61
481.961	13.61
482.338	14.61
482.715	12.61
483.092	15.61
483.469	13.61
483.846	15.61
484.222	16.61
484.599	9.61
484.976	15.61
485.353	12.61
485.729	15.61
486.106	18.61
486.482	14.61
486.859	18.61
487.235	16.61
487.611	19.61
487.988	17.61
488.364	16.61
488.74	15.61
489.116	16.61
489.492	17.61
489.868	13.61
490.244	14.61
490.62	15.61
490.996	11.61
491.372	15.61
491.747	14.61
492.123	12.61
492.499	11.61
492.874	13.61
493.25	15.61
493.625	12.61
494.001	19.61
494.376	16.61
494.751	18.61
495.126	19.61
495.502	15.61
495.877	15.61
496.252	13.61
496.627	19.61
497.002	19.61
497.377	16.61
497.752	15.61
498.127	13.61
498.501	15.61
498.876	16.61
499.251	17.61
499.625	14.61
500	17.61
500.374	16.61
500.749	10.61
501.123	16.61
501.497	16.61
501.872	18.61
502.246	14.61
502.62	18.61
502.994	18.61
503.368	13.61
503.742	16.61
504.116	19.61
504.49	21.61
504.864	20.61
505.238	11.61
505.612	13.61
505.985	16.61
506.359	13.61
506.732	14.61
507.106	15.61
507.479	17.61
507.853	13.61
508.226	13.61
508.6	13.61
508.973	15.61
509.346	14.61
509.719	14.61
510.092	17.61
510.465	12.61
510.838	12.61
511.211	16.61
511.584	16.61
511.957	11.61
512.33	15.61
512.702	17.61
513.075	11.61
513.448	15.61
513.82	9.61
514.193	11.61
514.565	16.61
514.938	11.61
515.31	19.61
515.682	19.61
516.054	16.61
516.427	12.61
516.799	17.61
517.171	16.61
517.543	12.61
517.915	16.61
518.287	12.61
518.659	13.61
519.03	15.61
519.402	20.61
519.774	13.61
520.145	11.61
520.517	15.61
520.889	14.61
521.26	11.61
521.632	13.61
522.003	16.61
522.374	15.61
522.745	12.61
523.117	17.61
523.488	12.61
523.859	14.61
524.23	19.61
524.601	18.61
524.972	13.61
525.343	17.61
525.714	16.61
526.084	15.61
526.455	14.61
526.826	15.61
527.196	13.61
527.567	11.61
527.938	10.61
528.308	16.61
528.678	15.61
529.049	15.61
529.419	16.61
529.789	12.61
530.159	14.61
530.53	12.61
530.9	12.61
531.27	19.61
531.64	21.61
532.01	17.61
532.379	9.61
532.749	15.61
533.119	11.61
533.489	11.61
533.858	12.61
534.228	15.61
534.598	17.61
534.967	11.61
535.336	13.61
535.706	14.61
536.075	13.61
536.444	14.61
536.814	14.61
537.183	13.61
537.552	12.61
537.921	11.61
538.29	14.61
538.659	15.61
